key,priority,created,status,versions
JENA-2157,Major,2021-09-08T00:41:06.000+0000,Closed, 4.1.0
JENA-2156,Major,2021-09-06T17:53:47.000+0000,Closed, 4.1.0
JENA-2155,Major,2021-09-04T10:15:38.000+0000,Closed, 4.1.0
JENA-2154,Major,2021-09-02T15:58:12.000+0000,Closed, 4.1.0
JENA-2153,Major,2021-08-24T11:10:20.000+0000,Open, 4.2.0
JENA-2152,Major,2021-08-20T04:46:09.000+0000,Closed,
JENA-2151,Major,2021-08-19T07:59:14.000+0000,Closed, 4.1.0
JENA-2150,Major,2021-08-18T12:35:48.000+0000,Closed, 4.1.0
JENA-2149,Major,2021-08-13T20:36:12.000+0000,Closed,
JENA-2148,Minor,2021-08-10T20:26:15.000+0000,Closed, 4.1.0
JENA-2147,Major,2021-08-10T12:06:01.000+0000,Closed, 4.1.0
JENA-2146,Major,2021-08-09T13:28:18.000+0000,Open,
JENA-2145,Minor,2021-08-09T13:19:53.000+0000,Open,
JENA-2144,Major,2021-08-09T13:03:30.000+0000,Closed,
JENA-2143,Major,2021-08-09T12:57:35.000+0000,Closed,
JENA-2142,Major,2021-08-07T12:05:37.000+0000,Closed, 4.1.0
JENA-2141,Major,2021-08-07T09:46:22.000+0000,Closed, 4.1.0
JENA-2140,Major,2021-08-05T09:30:51.000+0000,Closed, 4.1.0
JENA-2139,Major,2021-08-02T10:02:00.000+0000,Closed, 4.1.0
JENA-2138,Major,2021-08-01T15:54:09.000+0000,Closed, 4.1.0
JENA-2137,Major,2021-08-01T11:25:51.000+0000,Closed,
JENA-2136,Minor,2021-07-20T14:37:15.000+0000,Closed,
JENA-2135,Major,2021-07-20T09:04:59.000+0000,Closed, 4.1.0
JENA-2134,Major,2021-07-13T19:31:42.000+0000,Closed, 4.1.0
JENA-2133,Major,2021-07-13T19:24:08.000+0000,Closed, 4.1.0
JENA-2132,Major,2021-07-13T11:37:29.000+0000,Closed, 4.1.0
JENA-2131,Major,2021-07-09T16:35:08.000+0000,Closed, 4.1.0
JENA-2130,Major,2021-07-09T16:33:01.000+0000,Closed, 4.1.0
JENA-2129,Major,2021-07-09T16:29:26.000+0000,Closed, 4.1.0
JENA-2128,Major,2021-07-09T16:27:57.000+0000,Closed, 4.1.0
JENA-2127,Major,2021-07-09T16:26:04.000+0000,Closed, 4.1.0
JENA-2126,Major,2021-07-09T16:21:45.000+0000,Closed,
JENA-2125,Major,2021-07-09T16:16:02.000+0000,Closed, 4.1.0
JENA-2124,Major,2021-07-01T11:50:01.000+0000,Open, 4.1.0
JENA-2123,Major,2021-06-23T16:45:40.000+0000,Closed, 4.1.0
JENA-2122,Major,2021-06-22T08:25:27.000+0000,Closed, 4.1.0
JENA-2121,Major,2021-06-21T15:50:09.000+0000,Closed,
JENA-2120,Major,2021-06-18T13:01:50.000+0000,Closed, 3.17.0  4.1.0
JENA-2119,Major,2021-06-15T10:58:54.000+0000,Closed, 4.1.0
JENA-2118,Major,2021-06-15T09:13:25.000+0000,Closed, 4.1.0
JENA-2117,Minor,2021-06-14T14:52:22.000+0000,Closed, 3.17.0
JENA-2116,Major,2021-06-08T20:36:36.000+0000,Closed, 3.17.0  4.0.0  4.1.0
JENA-2115,Major,2021-06-08T07:15:17.000+0000,Open,
JENA-2114,Major,2021-06-04T19:47:34.000+0000,Closed, 4.1.0
JENA-2113,Major,2021-06-03T10:31:52.000+0000,Closed, 4.1.0
JENA-2112,Major,2021-05-30T08:18:03.000+0000,Closed,
JENA-2111,Major,2021-05-26T08:26:22.000+0000,Open, 4.0.0
JENA-2110,Minor,2021-05-23T16:05:06.000+0000,Closed,
JENA-2109,Major,2021-05-22T18:01:52.000+0000,Closed, 4.0.0
JENA-2108,Major,2021-05-19T17:05:19.000+0000,Closed,
JENA-2107,Critical,2021-05-17T13:35:52.000+0000,Closed, 3.17.0  4.0.0
JENA-2106,Major,2021-05-16T14:09:12.000+0000,Closed, 4.0.0
JENA-2105,Major,2021-05-14T09:53:31.000+0000,Closed, 4.0.0
JENA-2104,Minor,2021-05-13T22:05:45.000+0000,Closed, 3.15.0
JENA-2103,Major,2021-05-06T09:08:44.000+0000,Closed,
JENA-2102,Major,2021-05-04T02:01:41.000+0000,Closed, 4.0.0
JENA-2101,Major,2021-05-02T19:02:56.000+0000,Closed, 4.0.0
JENA-2100,Major,2021-05-01T11:26:00.000+0000,Closed, 4.0.0
JENA-2099,Major,2021-04-30T23:07:11.000+0000,Closed, 3.17.0
JENA-2098,Major,2021-04-30T22:53:34.000+0000,Closed, 3.17.0
JENA-2097,Critical,2021-04-27T18:13:43.000+0000,Closed, 4.0.0
JENA-2096,Major,2021-04-26T21:16:11.000+0000,Closed, 4.0.0
JENA-2095,Minor,2021-04-22T12:56:58.000+0000,Closed, 4.0.0
JENA-2094,Major,2021-04-19T15:33:05.000+0000,Closed, 4.0.0
JENA-2093,Minor,2021-04-16T10:00:03.000+0000,Open, 4.0.0
JENA-2092,Major,2021-04-15T09:02:55.000+0000,Closed, 3.17.0  4.0.0
